Categorie;Domaine;Menace;Description;Solution_Principale;Mesures_et_Outils
Menace Externe;Attaque ciblée IA;Injection de prompts (Directe / Indirecte);Manipulation des consignes du LLM via des requêtes piégées ou des données externes scannées (RAG, web).;Filtrage et isolation du contexte;NeMo Guardrails, Llama Guard, sanitization des entrées, séparation stricte prompt système / utilisateur, analyse des documents RAG.
Menace Externe;Attaque ciblée IA;Empoisonnement de données (Data Poisoning);Altération du jeu d'entraînement ou de la base vectorielle pour introduire des biais ou des backdoors.;Contrôle d'intégrité et traçabilité de la data;Validation des sources, signatures cryptographiques des datasets, détection d'anomalies statistiques, versioning de la base vectorielle.
Menace Externe;Attaque ciblée IA;Vol de modèle et extraction de données (Model Extraction);Reconstruction du modèle propriétaire ou vol de données confidentielles via requêtage systématique d'API.;Limitation des requêtes et obfustication;Rate limiting strict, détection de patterns de requêtage automatisé, perturbation légère des probabilités/outputs, watermarking.
Menace Externe;Attaque ciblée IA;Attaques par évasion (Adversarial Attacks);Modification imperceptible d'une entrée (image/texte) pour induire le modèle en erreur.;Robustesse algorithmique;Entraînement contradictoire (Adversarial Training), pré-traitement/lissage des entrées, modèles d'ensemble.
Menace Externe;Attaque ciblée IA;Piratage d'agents autonomes (Agent Hijacking);Détournement des fonctionnalités/outils d'un agent IA pour lui faire exécuter des actions malveillantes.;Gestion stricte des autorisations et bac à sable;Principe du moindre privilège, validation humaine explicite (Human-in-the-loop) pour actions à risque, sandboxing d'exécution.
Menace Externe;Cyberattaque dopée à l'IA;Phishing hyper-personnalisé;Génération automatique et ciblée de mails d'hameçonnage sans fautes et très contextualisés.;Authentification forte et filtrage e-mail avancé;MFA FIDO2 (incassable au phishing), protocoles SPF/DKIM/DMARC renforcés, analyse comportementale par E-mail Security Gateway.
Menace Externe;Cyberattaque dopée à l'IA;Usurpation d'identité par Deepfakes;Clonage vocal ou vidéo pour arnaque au président ou contournement de vérifications visuelles.;Vérification multicanal et détection d'artéfacts;Liveness detection (anti-spoofing biométrique), tatouage numérique (C2PA/watermarking), procédures strictes d'approbation financière.
Menace Externe;Cyberattaque dopée à l'IA;Malwares polymorphes générés par IA;Code malveillant re-muté en continu par IA pour échapper aux signatures antivirales.;Détection comportementale et Zero Trust;EDR / XDR fondés sur l'analyse comportementale (heuristique), isolation réseau micro-segmentée, restriction d'exécution de scripts.
Menace Interne;Shadow AI & Confidentialité;Exfiltration de données sensibles / PI via LLM;Soumission de code source, secrets ou PII dans des outils IA grand public non sécurisés.;Gouvernance des accès et DLP (Data Loss Prevention);CASB (Cloud Access Security Broker), filtres DLP d'anonymisation/masquage d'API, mise à disposition de LLM d'entreprise privés.
Menace Interne;Shadow AI & Confidentialité;Risques de la Supply Chain (Modèles / Bibliothèques);Utilisation de modèles Open Source ou dépendances Python tiers compromis ou contenant des vulnérabilités.;Audit de code et registre sécurisé;Scanners de modèles (Picklescan, ModelScan), SBOM (Software Bill of Materials), registre interne de modèles validés.
Menace Interne;Architecture & Configuration;Privilèges excessifs (Excessive Agency);Attribution à l'IA de droits d'accès ou d'écriture trop larges dans le SI.;Moindre privilège et cloisonnement;RBAC/ABAC adaptés aux agents, scopes API restreints, requêtes en lecture seule par défaut.
Menace Interne;Architecture & Configuration;Traitement non sécurisé des sorties (Insecure Output Handling);Absence de nettoyage des réponses de l'IA transmises directement à des interpréteurs (SQL, HTML, Shell).;Sanitization des sorties et parsing structuré;Échappement/encodage systématique, utilisation de formats stricts (Pydantic, JSON Schema), désactivation du code exécutable.
Menace Interne;Architecture & Configuration;Fuite du System Prompt & Secrets;Inclusion d'identifiants, clés d'API ou règles d'entreprise confidentielles dans les instructions du prompt.;Externalisation des secrets et Guardrails d'exfiltration;Vault / KMS pour les clés API, guardrails de sortie (anti-leak), séparation stricte du code et des instructions métier.
Menace Interne;Facteur Humain & Usages;Validation aveugle de code (Copilot / Cursor);Push en production de code généré sans revue, introduisant des failles de sécurité classiques (SQLi, XSS).;Automatisation du contrôle qualité CI/CD;Revue de code obligatoire (Code Review), intégration automatisée de SAST/DAST (SonarQube, Snyk) dans les pipelines CI/CD.
Menace Interne;Facteur Humain & Usages;Prise de décision basée sur des hallucinations;Décisions opérationnelles ou juridiques erronées dues à une réponse fausse mais convaincante du modèle.;Grounding RAG et supervision humaine;Architecture RAG avec citation obligatoire des sources, score de vérifiabilité factuelle, validation humaine obligatoire pour les processus critiques.
